"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.22,0.13687,-0.092141,8.1843,-0.009913,0.083532
0.22,0.1479,-0.073144,8.1816,-0.03409,0.072482
0.22,0.20943,-0.26934,8.0881,0.01192,-0.014169
0.22,0.23936,-0.23937,8.0891,0.013563,-0.012069
0.22,0.26933,-0.20944,8.0883,0.014272,-0.0097644
0.22,0.29935,-0.17954,8.0859,0.014203,-0.0077462
0.22,0.23843,-0.030605,8.1414,-0.001736,-0.0040647
0.22,0.20975,-0.059024,8.1429,-0.0060848,0.0043036
0.22,0.20983,-0.044828,8.1484,-0.0095484,0.00067654
0.22,0.23831,-0.059029,8.1373,-0.00013126,0.0018844
0.22,0.26933,-0.059777,8.1176,0.0082887,-0.0033116
0.22,0.2393,-0.059745,8.137,5.8296e-05,0.0019887
0.22,0.29933,-0.089717,8.1006,0.012876,-0.0037572
0.22,0.3294,-0.1197,8.0862,0.013697,-0.005019
0.22,0.32941,-0.14965,8.0822,0.013701,-0.0061848
0.22,0.16539,-0.059943,8.1754,-0.04736,0.045261
0.22,0.17933,-0.0448,8.172,-0.045741,0.020253
0.22,0.19439,-0.044831,8.1625,-0.030875,0.008362
0.22,0.2094,-0.044829,8.1487,-0.010021,0.00073622
0.22,0.090067,-0.20965,8.1386,0.0020983,-0.024521
0.22,0.11859,-0.23825,8.1244,0.0075516,-0.020852
0.22,0.090196,-0.23834,8.1308,0.00021136,-0.02092
0.22,0.11844,-0.20952,8.137,0.010188,-0.021704
0.22,0.074568,-0.20916,8.1434,-0.006299,-0.024869
0.22,0.07453,-0.19415,8.1556,-0.010524,-0.034591
0.22,0.089426,-0.20901,8.139,0.0019058,-0.024648
0.22,0.089331,-0.19388,8.1487,0.0032825,-0.031384
0.22,0.074467,-0.17915,8.1642,-0.015639,-0.0421
0.22,0.11953,-0.26922,8.1074,0.0063369,-0.019299
0.22,0.17953,-0.29936,8.0857,0.0094793,-0.015524
0.22,0.14957,-0.29933,8.091,0.0079132,-0.01694
0.22,0.074454,-0.16423,8.174,-0.0075486,-0.065573
0.22,0.073234,-0.14786,8.1857,0.0164,-0.095959
0.22,0.092051,-0.13693,8.1782,0.085752,-0.0444
0.22,0.090385,-0.12041,8.1349,0.14896,-0.034967
0.22,0.10606,-0.10582,8.1536,0.076095,0.11181
0.22,0.1205,-0.090269,8.1794,0.008491,0.11931
0.22,0.13489,-0.074802,8.183,-0.045142,0.095227
0.22,0.15306,-0.061558,8.181,-0.055286,0.062632
0.22,0.20952,-0.29941,8.0802,0.010354,-0.014032
0.22,0.23945,-0.26942,8.0816,0.012155,-0.012653
0.22,0.26941,-0.23946,8.0817,0.013216,-0.010852
0.22,0.2994,-0.20953,8.0804,0.013587,-0.0089711
0.22,0.32944,-0.17962,8.0778,0.013347,-0.0072871
0.22,0.2694,-0.029895,8.1194,0.0063863,-0.0046074
0.22,0.23943,-0.029891,8.1414,-0.0016253,-0.0042905
0.22,0.23851,-0.00071277,8.1425,-0.00027389,-0.011851
0.22,0.20993,-0.029206,8.1479,-0.0096421,-0.0047322
0.22,0.21006,-0.014965,8.1516,-0.011529,-0.010038
0.22,0.23844,-0.029176,8.1416,-0.0017882,-0.0045146
0.22,0.2095,-0.02991,8.1481,-0.010094,-0.0045273
0.22,0.1945,-0.029932,8.1648,-0.035895,-0.0013208
0.22,0.29937,-0.059811,8.1039,0.012293,-0.00337
0.22,0.32941,-0.089767,8.0896,0.013445,-0.0041319
0.22,0.35948,-0.11975,8.0776,0.013027,-0.0049328
0.22,0.35949,-0.14971,8.0743,0.012745,-0.0058635
0.22,0.16003,-0.040529,8.1811,-0.07032,0.032137
0.22,0.17942,-0.029971,8.1744,-0.057295,0.0062845
0.22,0.060456,-0.23831,8.1369,-0.01185,-0.017829
0.22,0.074569,-0.20961,8.1431,-0.006355,-0.02464
0.22,0.08871,-0.20946,8.1389,0.0014345,-0.02443
0.22,0.060433,-0.20975,8.1437,-0.014885,-0.019672
0.22,0.089642,-0.26926,8.1127,0.001728,-0.019896
0.22,0.089553,-0.23916,8.1308,-0.00011314,-0.020875
0.22,0.059727,-0.20932,8.144,-0.015279,-0.019611
0.22,0.059742,-0.19439,8.1589,-0.025932,-0.026452
